"event_id","subject_id","cna_type","observed_exon_start","observed_exon_end","span_exons","observed_coding_residues","n_legal_windows","n_alternative_windows","probability_observed_window","total_alternative_probability","maximum_window_probability","effective_number_of_windows","normalized_entropy","permutation_testable","testability_reason"
"CNA_event_000024","PATSIL","HOMDEL",1,5,5,164,5,4,0.300380256255495,0.699619743744505,0.300380256255495,4.4912299223054,0.964518968210544,TRUE,""
"CNA_event_000025","PATKKV","HOMDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000026","PATHSL","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000027","PATHRE","HOMDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000028","PASVKC","HOMDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000029","PASMHF","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000030","PASHZK","HOMDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000031","PARVHY","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000032","PARNXJ","HOMDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000033","PARMJA","HOMDEL",2,2,1,29,9,8,0.235203651050823,0.764796348949177,0.235203651050823,6.9123656913535,0.93965139549672,TRUE,""
"CNA_event_000034","PAUPVR","HOMDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000035","PAUEGE","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000039","PAULMU","HOMDEL",9,9,1,61,9,8,0.203651761815413,0.796348238184587,0.203651761815413,7.12130293431468,0.936667512522795,TRUE,""
"CNA_event_000040","PAVPCB","HOMDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000042","PARSJG","HOMDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000043","PAVZXK","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000044","PAWFYE","HETDEL",2,6,5,186,5,4,0.27427248806832,0.72572751193168,0.27427248806832,4.67077549856722,0.97748906988162,TRUE,""
"CNA_event_000046","PATGLV","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000047","PARIET","HETDEL",1,3,3,70,7,6,0.30463970997995,0.69536029002005,0.30463970997995,5.21137126755462,0.91962612390954,TRUE,""
"CNA_event_000048","PAVESV","HETDEL",4,5,2,95,8,7,0.21545469445451,0.78454530554549,0.21545469445451,6.81703628672408,0.957794862486565,TRUE,""
"CNA_event_000049","PAUNBU","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000050","PAVAPE","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000051","PAWJUJ","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000052","PAVPGA","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000053","PAVKJU","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000054","PAVIDN","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000055","PAVGMF","HETDEL",1,3,3,70,7,6,0.30463970997995,0.69536029002005,0.30463970997995,5.21137126755462,0.91962612390954,TRUE,""
"CNA_event_000056","PAVESF","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000057","PAVDJU","HETDEL",1,5,5,164,5,4,0.300380256255495,0.699619743744505,0.300380256255495,4.4912299223054,0.964518968210544,TRUE,""
"CNA_event_000058","PAVCRK","HETDEL",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000059","PAVAWP","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000060","PAUYJE","HETDEL",6,9,4,239,6,5,0.259601885232558,0.740398114767442,0.259601885232558,5.184780913723,0.953759808098934,TRUE,""
"CNA_event_000062","PAUWUY","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000063","PAUTBD","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000064","PAURLU","HETDEL",4,7,4,198,6,5,0.251039275204722,0.748960724795278,0.251039275204722,5.48795645127193,0.972566101070006,TRUE,""
"CNA_event_000065","PAUIEM","HETDEL",2,2,1,29,9,8,0.235203651050823,0.764796348949177,0.235203651050823,6.9123656913535,0.93965139549672,TRUE,""
"CNA_event_000066","PAUIEM","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000068","PAUHYI","HETDEL",4,5,2,95,8,7,0.21545469445451,0.78454530554549,0.21545469445451,6.81703628672408,0.957794862486565,TRUE,""
"CNA_event_000069","PAUGLY","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000070","PAUGDZ","HETDEL",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000071","PAUGAP","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000072","PAUCFC","HETDEL",2,2,1,29,9,8,0.235203651050823,0.764796348949177,0.235203651050823,6.9123656913535,0.93965139549672,TRUE,""
"CNA_event_000074","PATZXK","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000075","PATKVD","HETDEL",2,6,5,186,5,4,0.27427248806832,0.72572751193168,0.27427248806832,4.67077549856722,0.97748906988162,TRUE,""
"CNA_event_000076","PATCTR","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000077","PATBTX","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000079","PASYWF","HETDEL",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000080","PASYWF","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000081","PASYVU","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000082","PASPLG","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000083","PASPDS","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000084","PASKAD","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000085","PARMIH","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000086","PARJPL","HETDEL",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000087","PAWKIT","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000088","PAWGYW","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000090","PAWAIN","HETDEL",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000091","PAWAIM","HETDEL",4,5,2,95,8,7,0.21545469445451,0.78454530554549,0.21545469445451,6.81703628672408,0.957794862486565,TRUE,""
"CNA_event_000092","PAVRYP","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000093","PAVRUJ","HETDEL",4,5,2,95,8,7,0.21545469445451,0.78454530554549,0.21545469445451,6.81703628672408,0.957794862486565,TRUE,""
"CNA_event_000095","PAVKUU","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000096","PAVBCW","HETDEL",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000097","PAVBCW","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000098","PAVAJG","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000099","PAUYIK","HETDEL",1,3,3,70,7,6,0.30463970997995,0.69536029002005,0.30463970997995,5.21137126755462,0.91962612390954,TRUE,""
"CNA_event_000100","PAUYBP","HETDEL",4,5,2,95,8,7,0.21545469445451,0.78454530554549,0.21545469445451,6.81703628672408,0.957794862486565,TRUE,""
"CNA_event_000102","PAUXYI","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000103","PAUVWZ","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000104","PAUVUJ","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000105","PAUMXB","HETDEL",1,3,3,70,7,6,0.30463970997995,0.69536029002005,0.30463970997995,5.21137126755462,0.91962612390954,TRUE,""
"CNA_event_000107","PAUJYN","HETDEL",1,2,2,55,8,7,0.272994172956101,0.727005827043899,0.272994172956101,6.2636663109436,0.94221400398769,TRUE,""
"CNA_event_000108","PAUJYN","HETDEL",3,3,1,16,9,8,0.27755971061707,0.72244028938293,0.27755971061707,5.30283054133245,0.861379402937201,TRUE,""
"CNA_event_000109","PAUJYN","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000111","PATXNK","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000113","PATSIL","HETDEL",6,9,4,239,6,5,0.259601885232558,0.740398114767442,0.259601885232558,5.184780913723,0.953759808098934,TRUE,""
"CNA_event_000114","PATLUU","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000115","PATKPW","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000116","PATKKV","HETDEL",6,9,4,239,6,5,0.259601885232558,0.740398114767442,0.259601885232558,5.184780913723,0.953759808098934,TRUE,""
"CNA_event_000117","PATHSL","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000118","PATHRE","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000119","PATDEK","HETDEL",1,5,5,164,5,4,0.300380256255495,0.699619743744505,0.300380256255495,4.4912299223054,0.964518968210544,TRUE,""
"CNA_event_000120","PATCWW","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000122","PASVZJ","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000123","PASMHF","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000125","PASIJX","HETDEL",1,3,3,70,7,6,0.30463970997995,0.69536029002005,0.30463970997995,5.21137126755462,0.91962612390954,TRUE,""
"CNA_event_000126","PASIJX","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000128","PARXHT","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000129","PARMJA","HETDEL",3,5,3,110,7,6,0.259207738268778,0.740792261731221,0.259207738268778,6.1938613191778,0.97067012852399,TRUE,""
"CNA_event_000130","PARGHJ","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000131","PARBTF","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000132","PARBTF","HETDEL",6,9,4,239,6,5,0.259601885232558,0.740398114767442,0.259601885232558,5.184780913723,0.953759808098934,TRUE,""
"CNA_event_000134","PAVEUT","HETDEL",1,3,3,70,7,6,0.30463970997995,0.69536029002005,0.30463970997995,5.21137126755462,0.91962612390954,TRUE,""
"CNA_event_000135","PAVFAC","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000136","PAUPVR","HETDEL",6,9,4,239,6,5,0.259601885232558,0.740398114767442,0.259601885232558,5.184780913723,0.953759808098934,TRUE,""
"CNA_event_000137","PAUEGE","HETDEL",4,9,6,334,4,3,0.343709982354424,0.656290017645576,0.343709982354424,3.7531584237799,0.97656293283892,TRUE,""
"CNA_event_000138","PAVRLT","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000139","PATUWK","HETDEL",4,7,4,198,6,5,0.251039275204722,0.748960724795278,0.251039275204722,5.48795645127193,0.972566101070006,TRUE,""
"CNA_event_000140","PATKWU","HETDEL",1,5,5,164,5,4,0.300380256255495,0.699619743744505,0.300380256255495,4.4912299223054,0.964518968210544,TRUE,""
"CNA_event_000141","PASLXY","HETDEL",2,3,2,44,8,7,0.292661903323102,0.707338096676898,0.292661903323102,5.68682940897363,0.912305685470619,TRUE,""
"CNA_event_000143","PAWCUT","HETDEL",2,5,4,138,6,5,0.272612981577376,0.727387018422624,0.272612981577376,5.32342894283389,0.966502085006079,TRUE,""
"CNA_event_000144","PAVMVL","HETDEL",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000146","PAUKMA","HETDEL",1,2,2,55,8,7,0.272994172956101,0.727005827043899,0.272994172956101,6.2636663109436,0.94221400398769,TRUE,""
"CNA_event_000151","PAULMU","HETDEL",1,8,8,342,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
"CNA_event_000154","PAWAFV","GAIN",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000157","PAUTBB","GAIN",3,9,7,349,3,2,0.395168108343062,0.604831891656938,0.395168108343062,2.92617408451237,0.988345531981532,TRUE,""
"CNA_event_000158","PAWGIT","GAIN",6,9,4,239,6,5,0.259601885232558,0.740398114767442,0.259601885232558,5.184780913723,0.953759808098934,TRUE,""
"CNA_event_000159","PAWFNJ","GAIN",7,7,1,56,9,8,0.202648107151333,0.797351892848667,0.202648107151333,7.21900272876949,0.941919711327106,TRUE,""
"CNA_event_000166","PATALJ","GAIN",4,5,2,95,8,7,0.21545469445451,0.78454530554549,0.21545469445451,6.81703628672408,0.957794862486565,TRUE,""
"CNA_event_000178","PASGRU","GAIN",1,1,1,27,9,8,0.238603156040944,0.761396843959056,0.238603156040944,6.78892652773641,0.934277397675214,TRUE,""
"CNA_event_000180","PASGRU","GAIN",2,9,8,377,2,1,0.536422732377949,0.463577267622051,0.536422732377949,1.98944309633434,0.996168804430206,TRUE,""
