"event_id","subject_id","loc_start","loc_end","span_aa","input_row","mapped_residues","expected_residues","complete_mapping"
"91","PAVZTC",234,234,1,91,1,1,TRUE
"92","PAVZTC",234,234,1,92,1,1,TRUE
"93","PAWABB",245,245,1,93,1,1,TRUE
"94","PAWABB",246,246,1,94,1,1,TRUE
"95","PAWAIM",93,93,1,95,1,1,TRUE
"96","PAWALP",233,233,1,96,1,1,TRUE
"97","PAWAMD",234,234,1,97,1,1,TRUE
"98","PAWCWL",234,234,1,98,1,1,TRUE
"99","PAWDEK",233,233,1,99,1,1,TRUE
"100","PAWDWJ",74,74,1,100,1,1,TRUE
"101","PAWDWJ",130,130,1,101,1,1,TRUE
"102","PAWGYW",233,233,1,102,1,1,TRUE
"103","PAWGYW",235,235,1,103,1,1,TRUE
"104","PAWIWS",241,241,1,104,1,1,TRUE
"105","PAWJDS",233,233,1,105,1,1,TRUE
"106","PAWJDS",234,234,1,106,1,1,TRUE
"107","PASRPK",152,152,1,107,1,1,TRUE
"108","PAUIEM",233,233,1,108,1,1,TRUE
"109","PAUWSL",236,236,1,109,1,1,TRUE
"110","PAVAWK",24,24,1,110,1,1,TRUE
"111","PAVBSK",234,234,1,111,1,1,TRUE
"112","PAVRYP",233,233,1,112,1,1,TRUE
"113","PAWLSM",234,234,1,113,1,1,TRUE
