"reference_run","comparison_run","reference_cluster_id","comparison_cluster_id","reference_residues","comparison_residues","reference_n_residues","comparison_n_residues","reference_tree_sources","comparison_tree_sources","reference_significant","comparison_significant","reference_p_any","comparison_p_any","jaccard","containment","membership_interpretation"
"EZH2_baseline_200","EZH2_min3_500","cluster_0016","cluster_0015","648;651;652;655;657;658;659;662","648;651;652;655;657;658;659;662",8,8,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0017","cluster_0016","721;724;725;726;727;728","721;724;725;726;727;728",6,6,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0018","cluster_0017","655;657;658;659;662;677;679;685;727;728;732;733;740","655;657;658;659;662;677;679;685;727;728;732;733;740",13,13,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0019","cluster_0018","648;651;652;655;657;658;659;662;668;672;677;679;685;727;728;732;733;735;736;740","648;651;652;655;657;658;659;662;668;672;677;679;685;727;728;732;733;735;736;740",20,20,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0021","cluster_0019","668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740","668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740",17,17,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0022","cluster_0020","621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740","621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740",27,27,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0023","cluster_0021","436;441;442;443;444;497;527;548;553;558;560;561;568;572;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740","436;441;442;443;444;497;527;548;553;558;560;561;568;572;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740",41,41,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0024","cluster_0022","60;130;132;145;146;147;148;156;158;257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;497;527;548;553;558;560;561;568;572;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740","60;130;132;145;146;147;148;156;158;257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;497;527;548;553;558;560;561;568;572;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740",63,63,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0025","cluster_0023","130;132;145;146;147;148;156;158;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740","130;132;145;146;147;148;156;158;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740",35,35,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0026","cluster_0024","60;130;132;145;146;147;148;156;158;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740","60;130;132;145;146;147;148;156;158;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740",36,36,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0027","cluster_0025","697;724;725;726","697;724;725;726",4,4,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0028","cluster_0026","497;558;560;561;568;572","497;558;560;561;568;572",6,6,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0029","cluster_0027","621;626;697;721;724;725;726","621;626;697;721;724;725;726",7,7,"3D","3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0030","cluster_0028","5;22;23;24;25;60;130;132;145;146;147;148;156;158;186;251;257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;497;527;548;553;558;560;561;568;572;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740","5;22;23;24;25;60;130;132;145;146;147;148;156;158;186;251;257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;497;527;548;553;558;560;561;568;572;621;626;648;651;652;655;657;658;659;662;668;672;677;679;685;697;721;724;725;726;727;728;732;733;735;736;740",70,70,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0014","cluster_0029","677;679;685","677;679;685",3,3,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0020","cluster_0030","721;724;725;726;727;728;732;733;735;736;740","721;724;725;726;727;728;732;733;735;736;740",11,11,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0031","cluster_0031","721;724;725","721;724;725",3,3,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0032","cluster_0032","558;560;561","558;560;561",3,3,"1D;3D","1D;3D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0034","cluster_0033","621;626;648;651;652;655;657;658;659;662","621;626;648;651;652;655;657;658;659;662",10,10,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0036","cluster_0034","548;553;558;560;561;568;572","548;553;558;560;561;568;572",7,7,"1D","1D",FALSE,FALSE,0.316831683168317,0.163346613545817,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0037","cluster_0035","727;728","727;728",2,2,"3D","3D",FALSE,FALSE,0.524752475247525,0.278884462151394,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0038","cluster_0036","727;728;732;733;740","727;728;732;733;740",5,5,"3D","3D",FALSE,FALSE,0.524752475247525,0.278884462151394,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0039","cluster_0037","668;672;677;679;685;697","668;672;677;679;685;697",6,6,"1D","1D",FALSE,FALSE,0.524752475247525,0.278884462151394,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0033","cluster_0038","668;672;677;679;685","668;672;677;679;685",5,5,"1D","1D",FALSE,FALSE,0.316831683168317,0.278884462151394,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0040","cluster_0039","572","572",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.772277227722772,0.378486055776892,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0041","cluster_0040","655","655",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.772277227722772,0.378486055776892,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0042","cluster_0041","728","728",1,1,"1D;3D","1D;3D",FALSE,FALSE,0.772277227722772,0.378486055776892,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0035","cluster_0042","548;553;558;560;561","548;553;558;560;561",5,5,"1D","1D",FALSE,FALSE,0.316831683168317,0.621513944223108,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0043","cluster_0043","497;558;560;561","497;558;560;561",4,4,"3D","3D",FALSE,FALSE,0.930693069306931,0.796812749003984,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0044","cluster_0044","648;651;652;668;672;735;736","648;651;652;668;672;735;736",7,7,"3D","3D",FALSE,FALSE,0.99009900990099,0.916334661354582,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0078","cluster_0045","648;651;652;735;736","648;651;652;735;736",5,5,"3D","3D",FALSE,FALSE,1,0.972111553784861,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0045","cluster_0046","568;572","568;572",2,2,"1D;3D","1D;3D",FALSE,FALSE,0.99009900990099,0.99601593625498,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0049","cluster_0047","558","558",1,1,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0059","cluster_0048","560;561","560;561",2,2,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0064","cluster_0049","651;652","651;652",2,2,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0065","cluster_0050","24;25","24;25",2,2,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0066","cluster_0051","659;662","659;662",2,2,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0068","cluster_0052","22;23;24;25","22;23;24;25",4,4,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0069","cluster_0053","657;658;659","657;658;659",3,3,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0071","cluster_0054","648;651;652","648;651;652",3,3,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0072","cluster_0055","130;132","130;132",2,2,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0075","cluster_0056","732;733;735;736","732;733;735;736",4,4,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0079","cluster_0057","621;626","621;626",2,2,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0080","cluster_0058","621;626;721","621;626;721",3,3,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0081","cluster_0059","527;548;553","527;548;553",3,3,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0082","cluster_0060","262;263;279;280","262;263;279;280",4,4,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0084","cluster_0061","732;733;735;736;740","732;733;735;736;740",5,5,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0085","cluster_0062","130;132;145;146;147;148","130;132;145;146;147;148",6,6,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0086","cluster_0063","257;258;259;260;261;262;263;279;280","257;258;259;260;261;262;263;279;280",9,9,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0088","cluster_0064","130;132;145;146;147;148;156;158","130;132;145;146;147;148;156;158",8,8,"1D;3D","1D;3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0089","cluster_0065","145;146;147;148;156;158","145;146;147;148;156;158",6,6,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0091","cluster_0066","279;280;295;298","279;280;295;298",4,4,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0092","cluster_0067","22;23;24;25;251","22;23;24;25;251",5,5,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0093","cluster_0068","317;436;441;442;443;444","317;436;441;442;443;444",6,6,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0094","cluster_0069","346;527;548;553","346;527;548;553",4,4,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0095","cluster_0070","257;258;259;260;261;262;263;279;280;295;298","257;258;259;260;261;262;263;279;280;295;298",11,11,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0098","cluster_0071","251;257;258;259;260;261;262;263;279;280;295;298","251;257;258;259;260;261;262;263;279;280;295;298",12,12,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0099","cluster_0072","5;22;23;24;25","5;22;23;24;25",5,5,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0100","cluster_0073","497;527;548;553;558;560;561;568;572","497;527;548;553;558;560;561;568;572",9,9,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0101","cluster_0074","317;346;436;441;442;443;444;527;548;553","317;346;436;441;442;443;444;527;548;553",10,10,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0102","cluster_0075","5;22;23;24;25;186;251","5;22;23;24;25;186;251",7,7,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0103","cluster_0076","257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;527;548;553","257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;527;548;553",21,21,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0104","cluster_0077","251;257;258;259;260;261;262;263;279;280;295;298;317;346","251;257;258;259;260;261;262;263;279;280;295;298;317;346",14,14,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0105","cluster_0078","436;441;442;443;444;497;527;548;553;558;560;561;568;572","436;441;442;443;444;497;527;548;553;558;560;561;568;572",14,14,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0106","cluster_0079","257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;497;527;548;553;558;560;561;568;572","257;258;259;260;261;262;263;279;280;295;298;317;346;436;441;442;443;444;497;527;548;553;558;560;561;568;572",27,27,"3D","3D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0107","cluster_0080","130;132;145;146;147;148;156;158;186","130;132;145;146;147;148;156;158;186",9,9,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0108","cluster_0081","5;22;23;24;25;60","5;22;23;24;25;60",6,6,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0109","cluster_0082","5;22;23;24;25;60;130;132;145;146;147;148;156;158;186","5;22;23;24;25;60;130;132;145;146;147;148;156;158;186",15,15,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
"EZH2_baseline_200","EZH2_min3_500","cluster_0110","cluster_0083","5;22;23;24;25;60;130;132;145;146;147;148;156;158;186;251;257;258;259;260;261;262;263;279;280;295;298;317;346","5;22;23;24;25;60;130;132;145;146;147;148;156;158;186;251;257;258;259;260;261;262;263;279;280;295;298;317;346",29,29,"1D","1D",FALSE,FALSE,1,1,1,1,"highly_stable"
