"linkage_method","cluster_id","candidate_key","tree_sources","hotspot_class","significant_1d","significant_3d","significant_any","best_1d_for_size","best_3d_for_size","n_subjects","n_events","n_residues","residues","residue_min","residue_max","diameter_1d","diameter_3d","p_1d_joint","p_3d_joint","p_any_joint","p_1d_size","p_3d_size","methods_detected_count","methods_detected","methods_significant_any_count","methods_significant_any","stability_category"
"complete","cluster_0023","245","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"245",245,245,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0024","273","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"273",273,273,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0025","72","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"72",72,72,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0026","135;136","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"135;136",135,136,1,3.8053733062605,1,1,1,0.960079840319361,0.74251497005988,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0027","239;273","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"239;273",239,273,34,7.77772203154626,1,1,1,1,0.568862275449102,2,"complete;ward.D2",0,"","Supported (2-3 methods)"
"complete","cluster_0028","135;136;277","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,3,"135;136;277",135,277,142,7.84430564167409,1,1,1,1,0.568862275449102,2,"complete;ward.D2",0,"","Supported (2-3 methods)"
"complete","cluster_0029","159;197","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"159;197",159,197,38,9.24901751539049,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0030","197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"197;205",197,205,8,9.45055987759455,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0031","159;197;205","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,"159;197;205",159,205,46,9.86024436816857,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0032","91;171","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"91;171",91,171,80,10.1833527386613,1,1,1,1,0.840319361277445,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0033","273;277","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"273;277",273,277,4,10.2477570716718,1,1,1,0.672654690618762,0.844311377245509,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0034","105;149","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"105;149",105,149,44,10.7890887474337,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0035","149;159","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"149;159",149,159,10,20.9678090653268,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0036","171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,5,6,4,"171;175;197;205",171,205,34,22.5337260789245,1,1,1,0.806387225548902,0.664670658682635,3,"complete;average;ward.D2",0,"","Supported (2-3 methods)"
"complete","cluster_0037","135;136;149;159","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,4,4,"135;136;149;159",135,159,24,33.5454334895228,1,1,1,1,1,3,"complete;average;ward.D2",0,"","Supported (2-3 methods)"
"complete","cluster_0038","91;105","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"91;105",91,105,14,33.8197680063007,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0039","135;136;149;159;171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,7,10,8,"135;136;149;159;171;175;197;205",135,205,70,36.2203450149222,1,1,1,0.62874251497006,0.582834331337325,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0040","306;327","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"306;327",306,327,21,37.8933452336951,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"complete","cluster_0041","72;91;105","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,"72;91;105",72,105,33,68.0810175452747,1,1,1,0.976047904191617,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0001","248","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.0159680638722555,0.0159680638722555,0.0159680638722555,0.00199600798403194,0.00199600798403194,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"average","cluster_0002","239;244;245;248","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.0159680638722555,0.0159680638722555,0.0159680638722555,0.00199600798403194,0.00199600798403194,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"average","cluster_0003","239;244;245;248;273;277;282","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,13,14,7,"239;244;245;248;273;277;282",239,282,43,24.3327664888315,0.0159680638722555,0.0159680638722555,0.0159680638722555,0.00199600798403194,0.00199600798403194,2,"complete;average",2,"complete;average","Supported (2-3 methods)"
"average","cluster_0004","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,19,24,15,"91;135;136;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.161676646706587,0.0159680638722555,0.0159680638722555,0.0139720558882236,0.00199600798403194,3,"complete;average;single",3,"complete;average;single","Supported (2-3 methods)"
"average","cluster_0005","91;135;136;171;175;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,18,21,12,"91;135;136;171;175;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.415169660678643,0.0159680638722555,0.0159680638722555,0.0379241516966068,0.00199600798403194,3,"average;single;ward.D2",3,"average;single;ward.D2","Supported (2-3 methods)"
"average","cluster_0006","175;244;245;248","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,8,9,4,"175;244;245;248",175,248,73,12.3965262069662,1,0.0159680638722555,0.0159680638722555,0.481037924151697,0.00199600798403194,1,"average",1,"average","Method-specific (1 method)"
"average","cluster_0007","135;136;239;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,9,9,6,"135;136;239;273;277;282",135,282,147,15.19625341984,1,0.0159680638722555,0.0159680638722555,0.548902195608782,0.00199600798403194,1,"average",1,"average","Method-specific (1 method)"
"average","cluster_0008","91;171;175;244;245;248","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,FALSE,TRUE,11,12,6,"91;171;175;244;245;248",91,248,157,20.9830447981221,1,0.0159680638722555,0.0159680638722555,0.359281437125749,0.00199600798403194,1,"average",1,"average","Method-specific (1 method)"
"average","cluster_0009","244;245;248","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,6,7,3,"244;245;248",244,248,4,10.1224179917646,0.0159680638722555,0.0878243512974052,0.0159680638722555,0.00199600798403194,0.00798403193612774,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"average","cluster_0010","239;244;245;248;273;277;282;306;327","1D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,15,16,9,"239;244;245;248;273;277;282;306;327",239,327,88,64.744755053981,0.0159680638722555,0.998003992015968,0.0159680638722555,0.00199600798403194,0.291417165668663,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"average","cluster_0011","72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327","1D;3D","Linear hotspot without independent 3D enrichment",TRUE,FALSE,TRUE,TRUE,TRUE,23,30,20,"72;91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327",72,327,255,118.969142553857,0.0159680638722555,1,0.0159680638722555,0.00199600798403194,0.772455089820359,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"average","cluster_0012","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;327","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,21,27,18,"91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;327",91,327,236,45.207812433251,0.063872255489022,0.0359281437125748,0.0359281437125748,0.00598802395209581,0.00399201596806387,2,"average;single",2,"average;single","Supported (2-3 methods)"
"average","cluster_0013","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,20,26,17,"91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,42.6209890664213,0.0878243512974052,0.063872255489022,0.063872255489022,0.00798403193612774,0.00598802395209581,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0014","91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327","3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,21,28,19,"91;105;135;136;149;159;171;175;197;205;239;244;245;248;273;277;282;306;327",91,327,236,75.7545826072588,0.063872255489022,0.826347305389222,0.063872255489022,0.00598802395209581,0.101796407185629,2,"average;single",0,"","Supported (2-3 methods)"
"average","cluster_0015","273;277;282","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,6,6,3,"273;277;282",273,282,9,10.2477570716718,0.161676646706587,0.0878243512974052,0.0878243512974052,0.0139720558882236,0.00798403193612774,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0016","175;244;245","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,TRUE,5,5,3,"175;244;245",175,245,70,7.8782067756565,1,0.0878243512974052,0.0878243512974052,0.954091816367265,0.00798403193612774,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0017","135;136;239;273","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,5,5,4,"135;136;239;273",135,273,138,9.19636591268529,1,0.161676646706587,0.161676646706587,0.976047904191617,0.0139720558882236,1,"average",0,"","Method-specific (1 method)"
"average","cluster_0018","282","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,3,3,1,"282",282,282,0,0,0.500998003992016,0.500998003992016,0.500998003992016,0.0479041916167665,0.0479041916167665,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0019","171;175","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,2,"171;175",171,175,4,12.5950240968408,0.812375249500998,1,0.812375249500998,0.0958083832335329,0.439121756487026,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0020","135;136;273","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,"135;136;273",135,273,138,8.46101849661139,1,0.832335329341317,0.832335329341317,1,0.103792415169661,2,"average;single",0,"","Supported (2-3 methods)"
"average","cluster_0021","277;282","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,2,"277;282",277,282,5,8.63878654673213,0.926147704590818,0.864271457085828,0.864271457085828,0.151696606786427,0.11377245508982,1,"average",0,"","Method-specific (1 method)"
"average","cluster_0022","244;245","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"244;245",244,245,1,3.87020232029283,0.952095808383233,0.946107784431138,0.946107784431138,0.187624750499002,0.173652694610778,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0023","72;91;105;135;136;149;159;171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,11,14,11,"72;91;105;135;136;149;159;171;175;197;205",72,205,133,68.4879897646295,0.998003992015968,1,0.998003992015968,0.285429141716567,0.387225548902196,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0024","171","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"171",171,171,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0025","175","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"175",175,175,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0026","245","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"245",245,245,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0027","273","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"273",273,273,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0028","72","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,TRUE,2,2,1,"72",72,72,0,0,1,1,1,0.654690618762475,0.654690618762475,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0029","135;136","1D;3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"135;136",135,136,1,3.8053733062605,1,1,1,0.960079840319361,0.74251497005988,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0030","159;197","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"159;197",159,197,38,9.24901751539049,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0031","197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"197;205",197,205,8,9.45055987759455,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0032","159;197;205","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,3,3,"159;197;205",159,205,46,9.86024436816857,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0033","91;171","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"91;171",91,171,80,10.1833527386613,1,1,1,1,0.838323353293413,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0034","273;277","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,3,2,"273;277",273,277,4,10.2477570716718,1,1,1,0.672654690618762,0.840319361277445,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0035","105;149","3D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"105;149",105,149,44,10.7890887474337,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0036","149;159","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"149;159",149,159,10,20.9678090653268,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0037","171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,TRUE,FALSE,5,6,4,"171;175;197;205",171,205,34,22.5337260789245,1,1,1,0.806387225548902,0.652694610778443,3,"complete;average;ward.D2",0,"","Supported (2-3 methods)"
"average","cluster_0038","135;136;149;159","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,3,4,4,"135;136;149;159",135,159,24,33.5454334895228,1,1,1,1,1,3,"complete;average;ward.D2",0,"","Supported (2-3 methods)"
"average","cluster_0039","91;105","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"91;105",91,105,14,33.8197680063007,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0040","135;136;149;159;171;175;197;205","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,7,10,8,"135;136;149;159;171;175;197;205",135,205,70,36.2203450149222,1,1,1,0.648702594810379,0.606786427145709,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0041","306;327","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,"306;327",306,327,21,37.8933452336951,1,1,1,1,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"average","cluster_0042","72;91;105","1D","Weak clustering evidence",FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,"72;91;105",72,105,33,68.0810175452747,1,1,1,0.986027944111776,1,4,"complete;average;single;ward.D2",0,"","Consensus (all 4 methods)"
"single","cluster_0001","248","1D;3D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,4,4,1,"248",248,248,0,0,0.0259481037924152,0.0259481037924152,0.0259481037924152,0.00199600798403194,0.00199600798403194,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"single","cluster_0002","239;244;245;248","1D","Sequence-local hotspot also compact in structure",TRUE,TRUE,TRUE,TRUE,TRUE,7,8,4,"239;244;245;248",239,248,9,11.0329225049395,0.0259481037924152,0.0259481037924152,0.0259481037924152,0.00199600798403194,0.00199600798403194,4,"complete;average;single;ward.D2",4,"complete;average;single;ward.D2","Consensus (all 4 methods)"
"single","cluster_0003","91;135;136;159;171;175;197;205;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,19,24,15,"91;135;136;159;171;175;197;205;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.217564870259481,0.0259481037924152,0.0259481037924152,0.0219560878243513,0.00199600798403194,3,"complete;average;single",3,"complete;average;single","Supported (2-3 methods)"
"single","cluster_0004","91;135;136;171;175;239;244;245;248;273;277;282","3D","Nonlocal, 3D-specific hotspot",FALSE,TRUE,TRUE,TRUE,TRUE,18,21,12,"91;135;136;171;175;239;244;245;248;273;277;282",91,282,191,33.9021016752649,0.536926147704591,0.0259481037924152,0.0259481037924152,0.0598802395209581,0.00199600798403194,3,"average;single;ward.D2",3,"average;single;ward.D2","Supported (2-3 methods)"
