"gene","plddt","mapped_frac","mapped_res","temperature","mixture","min_eff","min_alt_p","eligible_exons","n_exons","localizable_events","median_eff","min_eff_obs","n_testable","frac_testable"
"CDKN2A",70,0.5,1,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.5,3,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.5,5,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.75,1,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.75,3,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.75,5,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.5,1,0.25,0.25,1.25,0.05,2,3,39,1.379,1,30,0.769
"CDKN2A",70,0.5,1,0.25,0.5,1.25,0.05,2,3,39,1.666,1,30,0.769
"CDKN2A",70,0.5,1,0.25,0.75,1.25,0.05,2,3,39,1.905,1,30,0.769
"CDKN2A",70,0.5,1,0.25,1,1.25,0.05,2,3,39,2,1,30,0.769
"CDKN2A",70,0.5,1,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.5,1,0.5,0.5,1.25,0.05,2,3,39,1.825,1,30,0.769
"CDKN2A",70,0.5,1,0.5,0.75,1.25,0.05,2,3,39,1.953,1,30,0.769
"CDKN2A",70,0.5,1,0.5,1,1.25,0.05,2,3,39,2,1,30,0.769
"CDKN2A",70,0.5,1,1,0.25,1.25,0.05,2,3,39,1.874,1,30,0.769
"CDKN2A",70,0.5,1,1,0.5,1.25,0.05,2,3,39,1.942,1,30,0.769
"CDKN2A",70,0.5,1,1,0.75,1.25,0.05,2,3,39,1.985,1,30,0.769
"CDKN2A",70,0.5,1,1,1,1.25,0.05,2,3,39,2,1,30,0.769
"CDKN2A",70,0.5,1,4,0.25,1.25,0.05,2,3,39,1.991,1,30,0.769
"CDKN2A",70,0.5,1,4,0.5,1.25,0.05,2,3,39,1.996,1,30,0.769
"CDKN2A",70,0.5,1,4,0.75,1.25,0.05,2,3,39,1.999,1,30,0.769
"CDKN2A",70,0.5,1,4,1,1.25,0.05,2,3,39,2,1,30,0.769
"CDKN2A",70,0.5,1,0.5,0.25,1.25,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.5,1,0.5,0.25,1.5,0.05,2,3,39,1.646,1,30,0.769
"CDKN2A",70,0.5,1,0.5,0.25,2,0.05,2,3,39,1.646,1,0,0
"CDKN2A",70,0.5,1,0.5,0.25,3,0.05,2,3,39,1.646,1,0,0
