"protein","n_sim","plddt_threshold","has_plddt","lesion_file","coordinate_file","label","random_seed","min_subjects","min_events","calibration_fraction","alpha","profile","status","results_dir"
"PTEN",800,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials800_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials800_plddt0"
"PTEN",900,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials900_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials900_plddt0"
"PTEN",1000,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials1000_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials1000_plddt0"
"PTEN",100,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials100_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials100_plddt70"
"PTEN",200,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials200_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials200_plddt70"
"PTEN",300,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials300_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials300_plddt70"
"PTEN",400,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials400_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials400_plddt70"
"PTEN",500,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials500_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials500_plddt70"
"PTEN",600,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials600_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials600_plddt70"
"PTEN",700,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials700_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials700_plddt70"
"PTEN",800,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials800_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials800_plddt70"
"PTEN",900,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials900_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials900_plddt70"
"PTEN",1000,70,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials1000_plddt70",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials1000_plddt70"
"PTEN",100,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials100_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials100_plddt90"
"PTEN",200,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials200_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials200_plddt90"
"PTEN",300,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials300_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials300_plddt90"
"PTEN",400,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials400_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials400_plddt90"
"PTEN",500,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials500_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials500_plddt90"
"PTEN",600,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials600_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials600_plddt90"
"PTEN",700,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials700_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials700_plddt90"
"PTEN",800,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials800_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials800_plddt90"
"PTEN",900,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials900_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials900_plddt90"
"PTEN",1000,90,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/PTEN_mutations/input_files/pten_coordinates.csv","PTEN_trials1000_plddt90",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/PTEN_trials1000_plddt90"
"SUZ12",100,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/SUZ12_mutations/input_files/suz12_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/SUZ12_mutations/input_files/suz12_coordinates.csv","SUZ12_trials100_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/SUZ12_trials100_plddt0"
"SUZ12",200,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/SUZ12_mutations/input_files/suz12_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/SUZ12_mutations/input_files/suz12_coordinates.csv","SUZ12_trials200_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/SUZ12_trials200_plddt0"
"SUZ12",300,0,TRUE,"/Users/sharmapk/Desktop/KIDS26-Team13/examples/SUZ12_mutations/input_files/suz12_start_end.csv","/Users/sharmapk/Desktop/KIDS26-Team13/examples/SUZ12_mutations/input_files/suz12_coordinates.csv","SUZ12_trials300_plddt0",20260916,2,2,0.5,0.05,"dense","available","/Users/sharmapk/Desktop/KIDS26-Team13/analysis/mutation_plddt_trials/results/runs/SUZ12_trials300_plddt0"
