"feature_id","protein","uniprot_accession","source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","description","start","end","feature_segments","start_modifier","end_modifier","evidence_codes","evidence_sources","evidence_ids","cross_references","go_terms","source_url","source_record_version","source_annotation_date","retrieved_at_utc"
"PDBe-KB:ligand:269f1eb6","TP53","P04637","PDBe-KB/SIFTS","ANP","site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site","experimental ligand contact","Contact with PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER (ANP)","UniProt-indexed protein residues contacting a non-solvent ligand in a PDB structure.",15,15,"15-15","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","8OXM;8OXO","PDB-CCD:ANP","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"UniProtKB:P04637:44553eb8","TP53","P04637","UniProtKB","P04637","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by CDK5, PRPK, AMPK, NUAK1 and ATM","Phosphoserine; by CDK5, PRPK, AMPK, NUAK1 and ATM",15,15,"15-15","EXACT","EXACT","ECO:0000269","PubMed","10570149;11554766;15866171;17108107;17591690;17967874;21317932;28842590","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"UniProtKB:P04637:00581429","TP53","P04637","UniProtKB","P04637","motif","motif","linear_motif","grin3d_annotation_hierarchy_v1:linear_motif","Motif","TADI","TADI",17,25,"17-25","EXACT","EXACT","","","","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"PDBe-KB:interface:49fcb20f","TP53","P04637","PDBe-KB/SIFTS","P56273","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with E3 ubiquitin-protein ligase Mdm2","UniProt-indexed contact residues observed in PDB structures; partner type UNP",17,27,"17-17;18-18;19-19;20-20;22-22;23-23;26-26;27-27","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","1YCQ","partner:P56273;PDB:1YCQ","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:55b77bab","TP53","P04637","PDBe-KB/SIFTS","Q7ZUW7","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Protein Mdm4","UniProt-indexed contact residues observed in PDB structures; partner type UNP",17,28,"17-17;18-18;19-19;20-20;22-22;23-23;26-26;27-27;28-28","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","2Z5S;2Z5T;3DAC;6V4F;6V4H","partner:Q7ZUW7;PDB:2Z5S;PDB:2Z5T;PDB:3DAC;PDB:6V4F;PDB:6V4H","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:511a6952","TP53","P04637","PDBe-KB/SIFTS","Q00987","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with E3 ubiquitin-protein ligase Mdm2","UniProt-indexed contact residues observed in PDB structures; partner type UNP",17,29,"17-17;18-18;19-19;20-20;22-22;23-23;25-25;26-26;27-27;28-28;29-29","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","1YCR;4HFZ","partner:Q00987;PDB:1YCR;PDB:4HFZ","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:3cf67b14","TP53","P04637","PDBe-KB/SIFTS","O15151","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Protein Mdm4","UniProt-indexed contact residues observed in PDB structures; partner type UNP",17,29,"17-17;18-18;19-19;22-22;23-23;25-25;26-26;27-27;28-28;29-29","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","2MWY;3DAB;7EL4","partner:O15151;PDB:2MWY;PDB:3DAB;PDB:7EL4","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:3ec1f6da","TP53","P04637","PDBe-KB/SIFTS","P04637","interaction","interaction_interface","protein_self_interface","pdbe_kb_sifts_v1:protein_self_interface","experimental interface","Interface with Cellular tumor antigen p53","UniProt-indexed contact residues observed in PDB structures; partner type UNP",17,356,"17-17;18-18;19-19;20-20;21-21;22-22;23-23;24-24;25-25;26-26;27-27;29-29;30-30;36-36;37-37;40-40;54-54;55-55;93-93;94-94;95-95;96-96;97-97;99-99;100-100;101-101;103-103;105-105;106-106;107-107;114-114;115-115;116-116;117-117;118-118;120-120;123-123;128-128;129-129;136-136;137-137;138-138;139-139;140-140;142-142;148-148;149-149;152-152;156-156;166-166;167-167;169-169;170-170;171-171;172-172;174-174;175-175;176-176;177-177;178-178;179-179;180-180;181-181;182-182;183-183;184-184;185-185;186-186;187-187;188-188;190-190;191-191;196-196;197-197;198-198;199-199;200-200;201-201;202-202;204-204;205-205;206-206;207-207;209-209;210-210;211-211;212-212;221-221;224-224;225-225;226-226;227-227;228-228;233-233;235-235;237-237;239-239;241-241;242-242;243-243;244-244;247-247;248-248;249-249;252-252;253-253;254-254;255-255;256-256;257-257;258-258;259-259;260-260;261-261;263-263;264-264;265-265;266-266;267-267;276-276;277-277;280-280;282-282;283-283;286-286;287-287;288-288;289-289;291-291;292-292;293-293;321-321;322-322;323-323;324-324;325-325;326-326;327-327;328-328;329-329;330-330;331-331;332-332;333-333;334-334;335-335;336-336;337-337;338-338;340-340;341-341;342-342;343-343;344-344;345-345;346-346;347-347;348-348;349-349;350-350;351-351;352-352;353-353;354-354;356-356","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","1A1U;1AIE;1C26;1GZH;1HS5;1KZY;1OLG;1OLH;1PES;1PET;1SAE;1SAF;1SAK;1SAL;1TSR;1TUP;1UOL;1YCQ;1YCR;1YCS;21EX;2AC0;2ADY;2AHI;2ATA;2B3G;2BIM;2BIN;2BIO;2BIP;2BIQ;2FEJ;2GS0;2H1L;2J0Z;2J10;2J11;2J1W;2J1X;2J1Y;2J1Z;2J20;2J21;2K8F;2L14;2LY4;2MEJ;2MWY;2MZD;2OCJ;2PCX;2RUK;2VUK;2WGX;2X0U;2X0V;2X0W;2XWR;2YBG;2YDR;2Z5S;2Z5T;37ZA;37ZR;3D05;3D06;3D07;3D08;3D09;3D0A;3DAB;3DAC;3IGK;3IGL;3KMD;3KZ8;3Q01;3Q05;3Q06;3SAK;3TS8;3ZME;4AGL;4AGM;4AGN;4AGO;4AGP;4AGQ;4HFZ;4HJE;4IBQ;4IBS;4IBT;4IBU;4IBV;4IBW;4IBY;4IBZ;4IJT;4KVP;4LO9;4LOE;4LOF;4MZI;4MZR;4QO1;4RP6;4RP7;4XR8;5A7B;5AB9;5ABA;5AOI;5AOJ;5AOK;5AOL;5AOM;5BUA;5ECG;5G4M;5G4N;5G4O;5HOU;5HP0;5HPD;5LAP;5LGY;5MCT;5MCU;5MCV;5MCW;5MF7;5MG7;5O1A;5O1B;5O1C;5O1D;5O1E;5O1F;5O1G;5O1H;5O1I;5UN8;5XZC;6FF9;6FJ5;6GGA;6GGB;6GGC;6GGD;6GGE;6GGF;6LHD;6RZ3;6SHZ;6SI0;6SI1;6SI2;6SI3;6SI4;6SL6;6T58;6V4F;6V4H;6VQO;6VR1;6VR5;6VRM;6VRN;6W51;6XRE;6ZNC;7B46;7B47;7B48;7B49;7B4A;7B4B;7B4C;7B4D;7B4E;7B4F;7B4G;7B4H;7B4N;7BWN;7DHY;7DHZ;7DVD;7EAX;7EDS;7EEU;7EL4;7NMI;7RM4;7V97;7XZX;7XZZ;7YGI;8A31;8A32;8A92;8CG7;8DC4;8DC6;8DC7;8DC8;8E7A;8E7B;8GCR;8HLL;8HLM;8HLN;8J8N;8OXM;8OXO;8QWK;8QWL;8QWM;8QWN;8QWO;8QWP;8R1F;8R1G;8RBA;8RBB;8RBC;8RCI;8UQR;8WD2;8XCB;8XCE;8XP5;9BR3;9BR4;9C5S;9CHT;9EIQ;9EJD;9EK4;9FZB;9G5H;9G6T;9G6U;9OBF;9R04;9R2M;9R2P;9R2Q;9S9L;9S9M;9S9N;9S9O;9S9P;9S9Q;9S9R;9SPM;9SPN;9SPO;9SPP;9SPQ;9SPR;9SPS;9SUK;9SZZ;9YZH","partner:P04637;PDB:1A1U;PDB:1AIE;PDB:1C26;PDB:1GZH;PDB:1HS5;PDB:1KZY;PDB:1OLG;PDB:1OLH;PDB:1PES;PDB:1PET;PDB:1SAE;PDB:1SAF;PDB:1SAK;PDB:1SAL;PDB:1TSR;PDB:1TUP;PDB:1UOL;PDB:1YCQ;PDB:1YCR;PDB:1YCS;PDB:21EX;PDB:2AC0;PDB:2ADY;PDB:2AHI;PDB:2ATA;PDB:2B3G;PDB:2BIM;PDB:2BIN;PDB:2BIO;PDB:2BIP;PDB:2BIQ;PDB:2FEJ;PDB:2GS0;PDB:2H1L;PDB:2J0Z;PDB:2J10;PDB:2J11;PDB:2J1W;PDB:2J1X;PDB:2J1Y;PDB:2J1Z;PDB:2J20;PDB:2J21;PDB:2K8F;PDB:2L14;PDB:2LY4;PDB:2MEJ;PDB:2MWY;PDB:2MZD;PDB:2OCJ;PDB:2PCX;PDB:2RUK;PDB:2VUK;PDB:2WGX;PDB:2X0U;PDB:2X0V;PDB:2X0W;PDB:2XWR;PDB:2YBG;PDB:2YDR;PDB:2Z5S;PDB:2Z5T;PDB:37ZA;PDB:37ZR;PDB:3D05;PDB:3D06;PDB:3D07;PDB:3D08;PDB:3D09;PDB:3D0A;PDB:3DAB;PDB:3DAC;PDB:3IGK;PDB:3IGL;PDB:3KMD;PDB:3KZ8;PDB:3Q01;PDB:3Q05;PDB:3Q06;PDB:3SAK;PDB:3TS8;PDB:3ZME;PDB:4AGL;PDB:4AGM;PDB:4AGN;PDB:4AGO;PDB:4AGP;PDB:4AGQ;PDB:4HFZ;PDB:4HJE;PDB:4IBQ;PDB:4IBS;PDB:4IBT;PDB:4IBU;PDB:4IBV;PDB:4IBW;PDB:4IBY;PDB:4IBZ;PDB:4IJT;PDB:4KVP;PDB:4LO9;PDB:4LOE;PDB:4LOF;PDB:4MZI;PDB:4MZR;PDB:4QO1;PDB:4RP6;PDB:4RP7;PDB:4XR8;PDB:5A7B;PDB:5AB9;PDB:5ABA;PDB:5AOI;PDB:5AOJ;PDB:5AOK;PDB:5AOL;PDB:5AOM;PDB:5BUA;PDB:5ECG;PDB:5G4M;PDB:5G4N;PDB:5G4O;PDB:5HOU;PDB:5HP0;PDB:5HPD;PDB:5LAP;PDB:5LGY;PDB:5MCT;PDB:5MCU;PDB:5MCV;PDB:5MCW;PDB:5MF7;PDB:5MG7;PDB:5O1A;PDB:5O1B;PDB:5O1C;PDB:5O1D;PDB:5O1E;PDB:5O1F;PDB:5O1G;PDB:5O1H;PDB:5O1I;PDB:5UN8;PDB:5XZC;PDB:6FF9;PDB:6FJ5;PDB:6GGA;PDB:6GGB;PDB:6GGC;PDB:6GGD;PDB:6GGE;PDB:6GGF;PDB:6LHD;PDB:6RZ3;PDB:6SHZ;PDB:6SI0;PDB:6SI1;PDB:6SI2;PDB:6SI3;PDB:6SI4;PDB:6SL6;PDB:6T58;PDB:6V4F;PDB:6V4H;PDB:6VQO;PDB:6VR1;PDB:6VR5;PDB:6VRM;PDB:6VRN;PDB:6W51;PDB:6XRE;PDB:6ZNC;PDB:7B46;PDB:7B47;PDB:7B48;PDB:7B49;PDB:7B4A;PDB:7B4B;PDB:7B4C;PDB:7B4D;PDB:7B4E;PDB:7B4F;PDB:7B4G;PDB:7B4H;PDB:7B4N;PDB:7BWN;PDB:7DHY;PDB:7DHZ;PDB:7DVD;PDB:7EAX;PDB:7EDS;PDB:7EEU;PDB:7EL4;PDB:7NMI;PDB:7RM4;PDB:7V97;PDB:7XZX;PDB:7XZZ;PDB:7YGI;PDB:8A31;PDB:8A32;PDB:8A92;PDB:8CG7;PDB:8DC4;PDB:8DC6;PDB:8DC7;PDB:8DC8;PDB:8E7A;PDB:8E7B;PDB:8GCR;PDB:8HLL;PDB:8HLM;PDB:8HLN;PDB:8J8N;PDB:8OXM;PDB:8OXO;PDB:8QWK;PDB:8QWL;PDB:8QWM;PDB:8QWN;PDB:8QWO;PDB:8QWP;PDB:8R1F;PDB:8R1G;PDB:8RBA;PDB:8RBB;PDB:8RBC;PDB:8RCI;PDB:8UQR;PDB:8WD2;PDB:8XCB;PDB:8XCE;PDB:8XP5;PDB:9BR3;PDB:9BR4;PDB:9C5S;PDB:9CHT;PDB:9EIQ;PDB:9EJD;PDB:9EK4;PDB:9FZB;PDB:9G5H;PDB:9G6T;PDB:9G6U;PDB:9OBF;PDB:9R04;PDB:9R2M;PDB:9R2P;PDB:9R2Q;PDB:9S9L;PDB:9S9M;PDB:9S9N;PDB:9S9O;PDB:9S9P;PDB:9S9Q;PDB:9S9R;PDB:9SPM;PDB:9SPN;PDB:9SPO;PDB:9SPP;PDB:9SPQ;PDB:9SPR;PDB:9SPS;PDB:9SUK;PDB:9SZZ;PDB:9YZH","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"UniProtKB:P04637:43b0f3d4","TP53","P04637","UniProtKB","P04637","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine; by CK1, VRK1 and VRK2","Phosphothreonine; by CK1, VRK1 and VRK2",18,18,"18-18","EXACT","EXACT","ECO:0000269","PubMed","10606744;10951572;16704422;31527692","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"PDBe-KB:interface:4b43afcb","TP53","P04637","PDBe-KB/SIFTS","P07355","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Annexin A2","UniProt-indexed contact residues observed in PDB structures; partner type UNP",19,54,"19-19;20-20;22-22;23-23;25-25;26-26;34-34;35-35;36-36;37-37;39-39;40-40;43-43;45-45;46-46;47-47;50-50;51-51;52-52;53-53;54-54","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","6T58;7NMI","partner:P07355;PDB:6T58;PDB:7NMI","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:654b15f2","TP53","P04637","PDBe-KB/SIFTS","P25815","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Protein S100-P","UniProt-indexed contact residues observed in PDB structures; partner type UNP",19,54,"19-19;20-20;22-22;23-23;25-25;26-26;34-34;35-35;36-36;37-37;39-39;40-40;43-43;45-45;46-46;47-47;50-50;51-51;52-52;53-53;54-54","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","7NMI","partner:P25815;PDB:7NMI","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"PDBe-KB:interface:79e0ab0d","TP53","P04637","PDBe-KB/SIFTS","P45481","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Histone lysine acetyltransferase CREBBP","UniProt-indexed contact residues observed in PDB structures; partner type UNP",19,54,"19-19;20-20;23-23;26-26;27-27;28-28;30-30;33-33;37-37;39-39;40-40;43-43;44-44;45-45;49-49;50-50;52-52;53-53;54-54","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","2L14;5HOU;5HP0;5HPD","partner:P45481;PDB:2L14;PDB:5HOU;PDB:5HP0;PDB:5HPD","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"UniProtKB:P04637:159158ba","TP53","P04637","UniProtKB","P04637","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by CHEK2, CK1 and PLK3","Phosphoserine; by CHEK2, CK1 and PLK3",20,20,"20-20","EXACT","EXACT","ECO:0000269","PubMed","10570149;11447225;11551930;12810724;20041275","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"PDBe-KB:ligand:4ecae63a","TP53","P04637","PDBe-KB/SIFTS","O4B","site","binding_site","small_molecule_binding_site","pdbe_kb_sifts_v1:small_molecule_binding_site","experimental ligand contact","Contact with 1,4,7,10,13,16-HEXAOXACYCLOOCTADECANE (O4B)","UniProt-indexed protein residues contacting a non-solvent ligand in a PDB structure.",24,24,"24-24","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","7EL4","PDB-CCD:O4B","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"UniProtKB:P04637:569a73d2","TP53","P04637","UniProtKB","P04637","modification","ptm","ubiquitination","grin3d_annotation_hierarchy_v1:ubiquitination","Cross-link","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)",24,24,"24-24","EXACT","EXACT","ECO:0000269","PubMed","21597459","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"UniProtKB:P04637:0eb3f492","TP53","P04637","UniProtKB","P04637","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by CDK5 and CDK7","Phosphoserine; by CDK5 and CDK7",33,33,"33-33","EXACT","EXACT","ECO:0000269","PubMed","17591690;9372954","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
"PDBe-KB:interface:3302c8ae","TP53","P04637","PDBe-KB/SIFTS","P27694","interaction","interaction_interface","protein_protein_interface","pdbe_kb_sifts_v1:protein_protein_interface","experimental interface","Interface with Replication protein A 70 kDa DNA-binding subunit","UniProt-indexed contact residues observed in PDB structures; partner type UNP",33,54,"33-33;34-34;35-35;36-36;37-37;38-38;39-39;40-40;41-41;42-42;43-43;44-44;45-45;48-48;50-50;51-51;53-53;54-54","EXACT","EXACT","experimental_structure_contact","PDBe-KB;PDB;SIFTS","2B3G","partner:P27694;PDB:2B3G","","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","","","2026-09-16T19:29:31Z"
"InterPro:IPR040926:1:0661472e","TP53","P04637","InterPro","IPR040926","domain","domain","transactivation_domain","grin3d_annotation_hierarchy_v1:transactivation_domain","domain","Cellular tumor antigen p53, transactivation domain 2","This is a N-terminal transactivation domain (TAD) domain 2 found in p53 proteins. In p53 two TAD domains are found termed TAD1 (residues 1-39) and TAD2 (residues 40-61), both of which have been shown to be able to independently activate gene transcription and are intrinsically disordered protein domains that adopt a helical conformation for at least part of their length when bound. This inherent flexibility allows the TADs to adapt to and bind a broad range of proteins. This entry describes TAD2 which can independently interact with Taz2 domain of the histone acetyltransferase p300 [[cite:PUB00091354]]. It has also been shown to bind to OB-fold domain of replication protein 70 A (RPA) [[cite:PUB00039489]] as well as the pleckstrin homology (PH) domain of the p62 and Tfb1 subunits of human and yeast TFIIH [[cite:PUB00041159]].",35,59,"35-59","EXACT","EXACT","database_signature_match","InterPro","IPR040926","pfam:PF18521","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR040926/","","","2026-09-16T17:12:32Z"
"UniProtKB:P04637:54caa00a","TP53","P04637","UniProtKB","P04637","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by MAPKAPK5","Phosphoserine; by MAPKAPK5",37,37,"37-37","EXACT","EXACT","ECO:0000269","PubMed","17254968","","","https://www.uniprot.org/uniprotkb/P04637/entry","315","2026-09-02","2026-09-16T17:12:31Z"
