"protein","uniprot_accession","ligand_code","ligand_name","contact_residues","pdb_ids","chembl_id","drugbank_id","cofactor_id","reaction_id","is_solvent","evidence_scope","source_url","retrieved_at_utc"
"TP53","P04637","A1II4","5-chloranyl-6-methyl-pyrazine-2-carbonitrile","120;145;147;150;151;167;178;182;220;221;222;276;277","9G6T","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","LE9","4-bromanyl-5-(trifluoromethyl)-1H-pyrazol-3-amine","150;151;220;223;230","8A92","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","GOH","5-[2-cyclopropyl-5-(1H-pyrrol-1-yl)-1,3-oxazol-4-yl]-1H-1,2,3,4-tetrazole","145;147;150;151;157;220;221;222;223;257","5AOK","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","UFV","3-BROMO-5-(TRIFLUOROMETHYL)BENZENE-1,2-DIAMINE","109;145;147;157;218;220;221;230;232","5AOL","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","X0V","4-(TRIFLUOROMETHYL)BENZENE-1,2-DIAMINE","145;147;150;151;153;155;220;221;222;223;230","2X0V","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","X0W","5,6-DIMETHOXY-2-METHYL-1,3-BENZOTHIAZOLE","147;150;151;220;222;223;230","2X0W","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","P83","1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine","145;147;150;151;220;221;222;223;228;230","2VUK","","DB08363","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","LEB","1-[7-bromanyl-9-[2,2,2-tris(fluoranyl)ethyl]carbazol-3-yl]-~{N}-methyl-methanamine","145;147;150;151;220;221;222;223;228","6SI3","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","O80","N,N-dimethyl-1-[9-(2,2,2-trifluoroethyl)-9H-carbazol-3-yl]methanamine","145;147;150;151;220;221;222;223;228;230","5G4O","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","O82","1-[9-(2-fluoroethyl)-9H-carbazol-3-yl]-N-methylmethanamine","145;147;150;151;220;221;222;223;228;230","5G4M","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","O83","1-[9-(2,2-difluoroethyl)-9H-carbazol-3-yl]-N-methylmethanamine","145;147;150;151;220;221;222;223;228;229;230","5G4N","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","R3R"," 9-propanoyl-9H-carbazole-3-carbaldehyde, bound form","145;146;147;148;220;221;222;223;228;229;230","8DC4","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","EY2","(7-bromanyl-9-ethyl-carbazol-3-yl)methyl-methyl-azanium","145;146;147;150;151;220;221;222;223;228;229;230","6GGA","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","LEK","1-[9-ethyl-7-(1,3-thiazol-4-yl)carbazol-3-yl]-~{N}-methyl-methanamine","145;146;147;150;151;153;220;221;222;223;228;229;230","6SI0;6SI4","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","EYB","[9-ethyl-7-(1,2-oxazol-4-yl)carbazol-3-yl]methyl-methyl-azanium","145;146;147;150;151;220;221;222;223;228;229;230","6GGD","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","92O","7-ethyl-3-(piperidin-4-yl)-1H-indole","145;147;148;150;151;152;153;220;222;223;228","5AB9","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","RZH","2-(5-BROMO-7-ETHYL-2-METHYL-1H-INDOLE-3-YL)ETHAN-1-AMIN","147;150;151;220;222;223;257","5AOI","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","R4F"," 1-(2-methylprop-2-enoyl)-1H-indole-3-carbaldehyde, bound form","145;147;157;218;220;227;228;229;230;232","8DC6","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","P84","2,4-BIS(IODANYL)-6-[[METHYL-(1-METHYLPIPERIDIN-4-YL)AMINO]METHYL]PHENOL","145;147;150;151;220;222;223;230","4AGL","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","P86","2-{[4-(DIETHYLAMINO)PIPERIDIN-1-YL]METHYL}-4,6-DIIODOPHENOL","145;147;148;150;151;220;221;222;223;230","4AGM","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","NXG","2-{[4-(DIETHYLAMINO)PIPERIDIN-1-YL]METHYL}-4-(3-HYDROXYPROP-1-YN-1-YL)-6-IODOPHENOL","145;147;148;150;151;152;220;222;223;230","4AGN","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","P74","TERT-BUTYL [3-(3-{[4-(DIETHYLAMINO)PIPERIDIN-1-YL]METHYL}-4-HYDROXY-5-IODOPHENYL)PROP-2-YN-1-YL]CARBAMATE","145;147;148;150;151;153;220;221;222;223;230","4AGO","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","UL7","1-{1-[(3-bromo-5-chloro-2-hydroxyphenyl)methyl piperidin-4-yl}piperidin-4-ol]","145;147;148;150;151;220;221;222;223;230","5ABA","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9GK","3-iodanyl-2-oxidanyl-5-(2-phenylethoxy)-4-pyrrol-1-yl-benzoic acid","145;147;150;151;153;157;220;221;222;223;230;257","5O1G","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","Y0V","2-hydroxy-3,5-diiodo-4-(1H-pyrrol-1-yl)benzoic acid","145;147;150;151;157;220;221;222;223;230;257","5AOJ","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9GQ","5-butoxy-3-iodanyl-2-oxidanyl-4-pyrrol-1-yl-benzoic acid","145;147;150;151;157;220;221;222;223;230;257","5O1F","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9GT","3-iodanyl-2-oxidanyl-5-prop-2-enoxy-4-pyrrol-1-yl-benzoic acid","145;147;150;151;152;157;220;221;222;223;230;257","5O1E","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9GW","3-iodanyl-2-oxidanyl-5-propoxy-4-pyrrol-1-yl-benzoic acid","145;147;150;151;152;157;220;221;222;223;230;257","5O1D","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9GN","3-iodanyl-2-oxidanyl-5-propylsulfanyl-4-pyrrol-1-yl-benzoic acid","145;147;150;151;152;157;220;221;222;223;230;257","5O1H","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9H2","6-(hydroxymethyl)-2,4-bis(iodanyl)-3-pyrrol-1-yl-phenol","145;147;150;151;157;220;221;222;223;229;230;257","5O1B","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","KV0","4-(3-fluoranylpyrrol-1-yl)-3,5-bis(iodanyl)-2-oxidanyl-benzoic acid","109;145;147;150;151;157;220;221;222;223;229;230;257","8A31","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","KVA","4-[3,4-bis(fluoranyl)pyrrol-1-yl]-3,5-bis(iodanyl)-2-oxidanyl-benzoic acid","109;145;147;150;151;157;220;221;222;223;229;230;257","8A32","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9GZ","5-(4-fluorophenyl)-3-iodanyl-2-oxidanyl-4-pyrrol-1-yl-benzoic acid","145;147;150;151;153;157;220;221;222;223;230;257","5O1C","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","QC5","2-(4-(4-fluorophenyl)-5-(1H-pyrrol-1-yl)-1H-pyrazol-1-yl)-N,N-dimethylethanamine","145;147;150;151;153;157;220;221;222;223;230;257","3ZME","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","R50"," 2-methyl-1-[(4P)-3-methyl-4-(2-methyl-1,2,3,4-tetrahydroisoquinolin-6-yl)-1H-pyrrolo[2,3-c]pyridin-1-yl]prop-2-en-1-one, bound form","145;146;147;150;151;220;221;222;223;228;230;257","8DC8","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9GH","2-(diethylamino)-6-iodanyl-5-oxidanyl-7-pyrrol-1-yl-1,3-benzothiazole-4-carboxylic acid","145;147;150;151;152;157;220;221;222;223;230;257","5O1I","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","R4R","4-[4-(4-methylpiperazin-1-yl)phenyl]-1-(2-methylprop-2-enoyl)-1H-indole-3-carbaldehyde, bound form","145;146;147;150;151;220;221;222;223;228;229;257","8DC7","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","3OD","(2S,3S,4R,5S)-2-({[(S)-{[(S)-{[(2R,3S,4R,5R)-5-(6-AMINO-9H-PURIN-9-YL)-3,4-DIHYDROXYTETRAHYDROFURAN-2-YL]METHOXY}(HYDROXY)PHOSPHORYL]OXY}(HYDROXY)PHOSPHORYL]OXY}METHYL)-4,5-DIHYDROXYTETRAHYDROFURAN-3-YL ACETATE","382","2H59","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","CNA","CARBA-NICOTINAMIDE-ADENINE-DINUCLEOTIDE","382","4ZZJ","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","APR","ADENOSINE-5-DIPHOSPHORIBOSE","382","2H59","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","9H5","[3,5-bis(iodanyl)-2-oxidanyl-4-pyrrol-1-yl-phenyl]-(4-methylpiperazin-1-yl)methanone","145;146;147;150;151;220;221;222;223;230;257","5O1A","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","FY8","N-(5-chloranyl-2-oxidanyl-phenyl)piperidine-4-carboxamide","145;147;148;150;151;152;153;220;221;222;223;229;230","5AOM","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1JMP","1-~{tert}-butyl-~{N}-[[3-[4-[[(3~{S},4~{R})-3-fluoranyl-1-methyl-piperidin-4-yl]amino]-1-[2,2,2-tris(fluoranyl)ethyl]indol-2-yl]-1,2,4-oxadiazol-5-yl]methyl]pyrazole-4-carboxamide","145;147;148;149;150;151;152;153;155;220;221;222;223;228;229;230","9S9N","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1LUZ","2-[2,4-bis(oxidanylidene)-1,3-thiazolidin-5-ylidene]ethanoic acid","137;178;182","8XCB","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1LU0","2-[(2~{Z})-2-(3-ethynylphenyl)imino-4-oxidanylidene-1,3-thiazolidin-5-ylidene]ethanoic acid","137;138;153;178;182;183;184;237;260","8XCE","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","MES","2-(N-MORPHOLINO)-ETHANESULFONIC ACID","384;385;386","1MA3","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","O4B","1,4,7,10,13,16-HEXAOXACYCLOOCTADECANE","24","7EL4","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","NAG","2-acetamido-2-deoxy-beta-D-glucopyranose","149","2YDR;5UN8","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","P51","2-{[4-(diethylamino)piperidin-1-yl]methyl}-6-iodo-4-(3-phenoxyprop-1-yn-1-yl)phenol","145;147;148;150;151;153;220;222;223;230","4AGP","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","KMN","2-[[4-(diethylamino)piperidin-1-yl]methyl]-6-ethynyl-4-(3-phenoxyprop-1-ynyl)phenol","145;147;148;150;151;152;153;220;222;223;230","5A7B","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","P96","2-{[4-(diethylamino)piperidin-1-yl]methyl}-6-iodo-4-[3-(phenylamino)prop-1-yn-1-yl]phenol","145;147;148;150;151;152;153;220;221;222;223;230","4AGQ","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1JMS","~{N}-[3-[1-ethyl-5-(methylaminomethyl)indol-2-yl]prop-2-ynyl]aniline","145;147;150;151;152;153;220;221;222;223;228;257","9S9L","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1DRM","3-methoxy-N-(2-methoxyethyl)-N-methyl-4-[(3-{4-[(oxan-4-yl)amino]-1-(2,2,2-trifluoroethyl)-1H-indol-2-yl}prop-2-yn-1-yl)amino]benzene-1-sulfonamide","145;147;148;150;151;152;153;220;221;222;223;230","37ZR","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1ARZ","2-methyl-2-{5-[(3-{4-[(1-methylpiperidin-4-yl)amino]-1-(2,2,2-trifluoroethyl)-1H-indol-2-yl}prop-2-yn-1-yl)amino]pyridin-2-yl}propanenitrile","145;147;148;150;151;152;153;220;221;222;223;230","9BR4","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1JMO","2-[3-[(4-dimethylphosphorylphenyl)amino]prop-1-ynyl]-~{N}-(1-methylpiperidin-4-yl)-1-[2,2,2-tris(fluoranyl)ethyl]indol-4-amine","145;147;148;150;151;152;153;220;221;222;223;230","9S9M","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1ARO","2-{3-[4-(methanesulfonyl)-2-methoxyanilino]prop-1-yn-1-yl}-N-(1-methylpiperidin-4-yl)-1-(2,2,2-trifluoroethyl)-1H-indol-4-amine","145;147;148;150;151;152;153;220;221;222;223;229;230","9BR3","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","CA","CALCIUM ION","268","2J1Y","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","DTT","2,3-DIHYDROXY-1,4-DITHIOBUTANE","183","4IJT","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","K","POTASSIUM ION","111","7YGI","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","IOD","IODIDE ION","160;213","3KZ8","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","MLI","MALONATE ION","241;248;273","8QWL","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","PG4","TETRAETHYLENE GLYCOL","177;180;181","7B4E","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","TLA","L(+)-TARTARIC ACID","115;116;117;282","8QWM;8QWP","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","SB","ANTIMONY (III) ION","124;133;134;135;141","7EAX","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","NO3","NITRATE ION","166;167;185;191;227;228;229","9S9P","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","NA","SODIUM ION","163;164;165;168;186;188;197;203;205;249;250","7YGI","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","EXQ","[9-ethyl-7-(4-methylthiophen-2-yl)carbazol-3-yl]methyl-methyl-azanium","145;146;147;150;151;153;220;221;222;223;228;229;230","6GGB;6GGF","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","ARS","ARSENIC","124;133;135;141","7DHY;7DHZ;7EDS;7EEU;7V97","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1JMR","4-[3-[4-[[(3~{S},4~{R})-3-fluoranyl-1-methyl-piperidin-4-yl]amino]-1-[2,2,2-tris(fluoranyl)ethyl]indol-2-yl]prop-2-ynylamino]-3-methoxy-~{N}-methyl-benzamide","145;147;148;149;150;151;152;153;220;221;222;223;228;229;230","9S9O;9S9P;9S9Q","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","A1JQW","3-bromanyl-1-benzothiophene 1,1-dioxide","120;121;136;276;277","9SUK;9SZZ","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","YLW","2,5-bis(fluoranyl)pyridine-3-carbonitrile","110;113;114;116;121;124;126;142;144;145;146;147;150;151;178;182;220;221;222;223;229;230;277","8RBA;8RBB","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","PGE","TRIETHYLENE GLYCOL","115;116;117;282","9G6U;9SZZ","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
"TP53","P04637","OAD","2'-O-ACETYL ADENOSINE-5-DIPHOSPHORIBOSE","382","2H4J;4BUZ;4BV2","","","","",FALSE,"residue_level_experimental_contact","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P04637","2026-09-16T19:29:31Z"
