"source","source_record_id","protein","uniprot_accession","api_url","web_url","record_version","annotation_date","retrieved_at_utc","raw_response_file","notes"
"InterPro","IPR020775","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR020775/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR020775/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR020775.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR036860","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR036860/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036860/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR036860.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR041046","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR041046/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR041046/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR041046.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR041155","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR041155/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR041155/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR041155.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR041381","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR041381/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR041381/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR041381.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"InterPro","IPR051286","JAK3","P52333","https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR051286/","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR051286/","","","2026-09-17T05:13:09Z","raw/interpro_entry_IPR051286.json","InterPro match and entry-level literature; literature is not protein-match-specific."
"PDBe-KB/SIFTS","P52333:interfaces","JAK3","P52333","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/interface_residues/P52333","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P52333","","","2026-09-17T05:13:25Z","raw/pdbe_interfaces_P52333.json","Experimental interface residues mapped to UniProt coordinates by SIFTS; PDB IDs are retained as evidence."
"PDBe-KB/SIFTS","P52333:ligands","JAK3","P52333","https://www.ebi.ac.uk/pdbe/graph-api/uniprot/ligand_sites/P52333","https://www.ebi.ac.uk/pdbe/pdbe-kb/proteins/P52333","","","2026-09-17T05:13:26Z","raw/pdbe_ligands_P52333.json","Experimental non-solvent ligand-contact residues mapped to UniProt coordinates by SIFTS; a drug cross-reference is retained but not inferred."
"ChEMBL","P52333","JAK3","P52333","https://www.ebi.ac.uk/chembl/api/data/target.json?target_components__accession=P52333&limit=100","https://www.ebi.ac.uk/chembl/explore/target/CHEMBL2148","","","2026-09-17T05:13:28Z","raw/chembl_targets_P52333.json","ChEMBL target and mechanism records are protein/complex-level context, not residue-level binding evidence. Related mechanism and molecule responses are cached separately."
"ChEMBL","P52333:mechanisms","JAK3","P52333","https://www.ebi.ac.uk/chembl/api/data/mechanism.json?target_chembl_id__in=CHEMBL2148,CHEMBL2363062,CHEMBL3038491,CHEMBL4802035,CHEMBL6066057&limit=1000","https://www.ebi.ac.uk/chembl/","","","2026-09-17T05:13:28Z","raw/chembl_mechanisms_P52333.json","Drug-mechanism records for ChEMBL targets containing this accession."
"ChEMBL","P52333:molecules","JAK3","P52333","https://www.ebi.ac.uk/chembl/api/data/molecule.json?molecule_chembl_id__in=CHEMBL2103743,CHEMBL2106468,CHEMBL3039513,CHEMBL3137308,CHEMBL3301607,CHEMBL3545159,CHEMBL405130,CHEMBL4085457,CHEMBL4116008,CHEMBL4297507,CHEMBL4298167,CHEMBL4594275,CHEMBL4594382,CHEMBL4650343,CHEMBL4802163,CHEMBL495727,CHEMBL5314384,CHEMBL5314649,CHEMBL5315119&limit=1000","https://www.ebi.ac.uk/chembl/","","","2026-09-17T05:13:30Z","raw/chembl_molecules_P52333.json","Molecule names and development phases for returned drug mechanisms."
