"feature_id","protein","uniprot_accession","source","source_record_id","annotation_class","feature_category","feature_subcategory","classification_rule","feature_type","feature_name","description","start","end","feature_segments","start_modifier","end_modifier","evidence_codes","evidence_sources","evidence_ids","cross_references","go_terms","source_url","source_record_version","source_annotation_date","retrieved_at_utc"
"UniProtKB:Q9UJU2:73f0bef0","LEF1","Q9UJU2","UniProtKB","Q9UJU2","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphothreonine; by NLK","Phosphothreonine; by NLK",155,155,"155-155","EXACT","EXACT","ECO:0000305","PubMed","12556497","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:038907fa","LEF1","Q9UJU2","UniProtKB","Q9UJU2","modification","ptm","phosphorylation","grin3d_annotation_hierarchy_v1:phosphorylation","Modified residue","Phosphoserine; by NLK","Phosphoserine; by NLK",166,166,"166-166","EXACT","EXACT","ECO:0000305","PubMed","12556497","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:78226f65","LEF1","Q9UJU2","UniProtKB","Q9UJU2","structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region","Region","Disordered","Disordered",166,192,"166-192","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:6d1e7edd","LEF1","Q9UJU2","UniProtKB","Q9UJU2","structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region","Region","Disordered","Disordered",268,298,"268-298","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:37bdfd5d","LEF1","Q9UJU2","UniProtKB","Q9UJU2","modification","ptm","cross_link","grin3d_annotation_hierarchy_v1:cross_link","Cross-link","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO)","Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO)",269,269,"269-269","EXACT","EXACT","ECO:0000250","","","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:4135fe65","LEF1","Q9UJU2","UniProtKB","Q9UJU2","functional_region","functional_region","compositional_bias","grin3d_annotation_hierarchy_v1:compositional_bias","Compositional bias","Basic and acidic residues","Basic and acidic residues",269,296,"269-296","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"InterPro:IPR036910:1:16e053f6","LEF1","Q9UJU2","InterPro","IPR036910","domain","domain","homologous_superfamily","grin3d_annotation_hierarchy_v1:homologous_superfamily","homologous_superfamily","High mobility group box domain superfamily","High mobility group (HMG) box domains are involved in binding DNA, and may be involved in protein-protein interactions as well. The structure of the HMG-box domain consists of three helices in an irregular array. HMG-box domains are found in one or more copies in HMG-box proteins, which form a large, diverse family involved in the regulation of DNA-dependent processes such as transcription, replication, and strand repair, all of which require the bending and unwinding of chromatin. Many of these proteins are regulators of gene expression. HMG-box proteins are found in a variety of eukaryotic organisms, and can be broadly divided into two groups, based on sequence-dependent and sequence-independent DNA recognition; the former usually contain one HMG-box motif, while the latter can contain multiple HMG-box motifs. HMG-box domains can be found in single or multiple copies in the following protein classes: HMG1 and HMG2 non-histone components of chromatin; SRY (sex determining region Y protein) involved in differential gonadogenesis; the SOX family of transcription factors [[cite:PUB00015128]]; sequence-specific LEF1 (lymphoid enhancer binding factor 1) and TCF-1 (T-cell factor 1) involved in regulation of organogenesis and thymocyte differentiation [[cite:PUB00015129]]; structure-specific recognition protein SSRP involved in transcription and replication; MTF1 mitochondrial transcription factor; nucleolar transcription factors UBF 1/2 (upstream binding factor) involved in transcription by RNA polymerase I; Abf2 yeast ARS-binding factor [[cite:PUB00015130]]; yeast transcription factors lxr1, Rox1, Nhp6b and Spp41; mating type proteins (MAT) involved in the sexual reproduction of fungi [[cite:PUB00015131]]; and the YABBY plant-specific transcription factors. Structurally, the HMG box domain is composed of three helices.",297,382,"297-382","EXACT","EXACT","database_signature_match","InterPro","IPR036910","cathgene3d:G3DSA:1.10.30.10;ssf:SSF47095","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR036910/","","","2026-09-17T19:53:22Z"
"InterPro:IPR009071:1:286e0947","LEF1","Q9UJU2","InterPro","IPR009071","domain","domain","protein_domain","grin3d_annotation_hierarchy_v1:protein_domain","domain","High mobility group box domain","High mobility group (HMG) box domains are involved in binding DNA, and may be involved in protein-protein interactions as well. The structure of the HMG-box domain consists of three helices in an irregular array. HMG-box domains are found in one or more copies in HMG-box proteins, which form a large, diverse family involved in the regulation of DNA-dependent processes such as transcription, replication, and strand repair, all of which require the bending and unwinding of chromatin. Many of these proteins are regulators of gene expression. HMG-box proteins are found in a variety of eukaryotic organisms, and can be broadly divided into two groups, based on sequence-dependent and sequence-independent DNA recognition; the former usually contain one HMG-box motif, while the latter can contain multiple HMG-box motifs. HMG-box domains can be found in single or multiple copies in the following protein classes: HMG1 and HMG2 non-histone components of chromatin; SRY (sex determining region Y protein) involved in differential gonadogenesis; the SOX family of transcription factors [[cite:PUB00015128]]; sequence-specific LEF1 (lymphoid enhancer binding factor 1) and TCF-1 (T-cell factor 1) involved in regulation of organogenesis and thymocyte differentiation [[cite:PUB00015129]]; structure-specific recognition protein SSRP involved in transcription and replication; MTF1 mitochondrial transcription factor; nucleolar transcription factors UBF 1/2 (upstream binding factor) involved in transcription by RNA polymerase I; Abf2 yeast ARS-binding factor [[cite:PUB00015130]]; yeast transcription factors lxr1, Rox1, Nhp6b and Spp41; mating type proteins (MAT) involved in the sexual reproduction of fungi [[cite:PUB00015131]]; and the YABBY plant-specific transcription factors.",298,368,"298-368","EXACT","EXACT","database_signature_match","InterPro","IPR009071","pfam:PF00505;pfam:PF09011;profile:PS50118;smart:SM00398","","https://www.ebi.ac.uk/interpro/entry/InterPro/IPR009071/","","","2026-09-17T19:53:22Z"
"UniProtKB:Q9UJU2:0bb3994a","LEF1","Q9UJU2","UniProtKB","Q9UJU2","domain","domain","dna_binding_domain","grin3d_annotation_hierarchy_v1:dna_binding_domain","DNA binding","HMG box","HMG box",299,367,"299-367","EXACT","EXACT","ECO:0000255","PROSITE-ProRule","PRU00267","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
"UniProtKB:Q9UJU2:675b784b","LEF1","Q9UJU2","UniProtKB","Q9UJU2","structural_region","disorder","intrinsically_disordered_region","grin3d_annotation_hierarchy_v1:intrinsically_disordered_region","Region","Disordered","Disordered",369,399,"369-399","EXACT","EXACT","ECO:0000256","SAM","MobiDB-lite","","","https://www.uniprot.org/uniprotkb/Q9UJU2/entry","222","2026-09-02","2026-09-17T19:53:21Z"
