"protein","source","alteration_type","cluster_id","hotspot_class","n_subjects","n_events","n_residues","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_joint","p_3d_joint","p_any_joint","significant_any","exons","significant_1d","significant_3d","p_1d_protein","p_3d_protein","tree_sources","residue_min","residue_max","mean_plddt"
"IL7R","mutation","SNV","SNV_cluster_0013","Weak clustering evidence",3,3,1,0,0,0.166966606678664,0.166966606678664,0.958608278344331,0.958608278344331,0.958608278344331,FALSE,NA,FALSE,FALSE,0.872825434913017,0.896820635872825,"1D;3D",95,95,96.4
"IL7R","mutation","SNV","SNV_cluster_0014","Weak clustering evidence",5,5,3,5,8.4456407690595,0.258148370325935,0.18876224755049,0.992801439712058,0.973005398920216,0.973005398920216,FALSE,NA,FALSE,FALSE,0.960807838432314,0.926614677064587,"1D;3D",249,254,93.9
"IL7R","mutation","SNV","SNV_cluster_0015","Weak clustering evidence",2,2,1,0,0,0.974405118976205,0.974405118976205,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",244,244,85.1
"IL7R","mutation","SNV","SNV_cluster_0016","Weak clustering evidence",2,2,1,0,0,0.974405118976205,0.974405118976205,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",246,246,89.2
"IL7R","mutation","SNV","SNV_cluster_0017","Weak clustering evidence",2,2,1,0,0,0.974405118976205,0.974405118976205,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",78,78,95.4
"IL7R","mutation","SNV","SNV_cluster_0018","Weak clustering evidence",3,3,2,1,3.86634375088403,0.670665866826635,0.59748050389922,1,1,1,FALSE,NA,FALSE,FALSE,1,0.999800039992002,"3D",245,246,88.7
"IL7R","mutation","SNV","SNV_cluster_0019","Weak clustering evidence",3,3,2,1,3.87389016364687,0.670665866826635,0.617676464707059,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D",244,245,86.6
"IL7R","mutation","SNV","SNV_cluster_0020","Weak clustering evidence",5,5,2,17,13.5190330275505,0.94121175764847,0.816436712657469,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",78,95,95.9
"IL7R","mutation","SNV","SNV_cluster_0021","Weak clustering evidence",6,6,3,37,22.5789011911563,0.921015796840632,0.909018196360728,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",78,115,94.6
"IL7R","mutation","SNV","SNV_cluster_0022","Weak clustering evidence",7,7,4,133,34.4244269959574,0.941811637672465,0.917016596680664,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"3D",78,211,93.4
"IL7R","mutation","INDEL","INDEL_cluster_0001","Sequence-local hotspot also compact in structure",7,7,1,0,0,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",241,241,76.9
"IL7R","mutation","INDEL","INDEL_cluster_0002","Sequence-local hotspot also compact in structure",33,35,1,0,0,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",242,242,79.4
"IL7R","mutation","INDEL","INDEL_cluster_0003","Sequence-local hotspot also compact in structure",20,20,1,0,0,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",243,243,83.6
"IL7R","mutation","INDEL","INDEL_cluster_0004","Sequence-local hotspot also compact in structure",13,13,1,0,0,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",244,244,85.1
"IL7R","mutation","INDEL","INDEL_cluster_0005","Sequence-local hotspot also compact in structure",9,9,1,0,0,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",253,253,94.8
"IL7R","mutation","INDEL","INDEL_cluster_0006","Sequence-local hotspot also compact in structure",12,13,2,1,3.84977856506059,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"3D",253,254,94.4
"IL7R","mutation","INDEL","INDEL_cluster_0007","Sequence-local hotspot also compact in structure",30,32,2,1,3.85506044051192,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",243,244,84.3
"IL7R","mutation","INDEL","INDEL_cluster_0008","Sequence-local hotspot also compact in structure",14,14,2,1,3.86336783130988,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D",252,253,93.9
"IL7R","mutation","INDEL","INDEL_cluster_0009","Sequence-local hotspot also compact in structure",39,42,2,1,3.88641981777574,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",241,242,78.2
"IL7R","mutation","INDEL","INDEL_cluster_0010","Sequence-local hotspot also compact in structure",18,21,4,3,5.47061568747065,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",252,255,93.9
"IL7R","mutation","INDEL","INDEL_cluster_0011","Sequence-local hotspot also compact in structure",62,73,4,3,5.54642984270062,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",241,244,81.2
"IL7R","mutation","INDEL","INDEL_cluster_0012","Sequence-local hotspot also compact in structure",69,86,10,9,13.9768335469805,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",241,250,87.5
"IL7R","mutation","INDEL","INDEL_cluster_0013","Sequence-local hotspot also compact in structure",87,107,14,14,20.3973008263348,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",241,255,89
"IL7R","mutation","INDEL","INDEL_cluster_0014","Sequence-local hotspot also compact in structure",89,109,16,204,84.5285751506554,0.0001999600079984,0.0001999600079984,0.00559888022395521,0.00559888022395521,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.00359928014397121,"1D;3D",51,255,89.3
"IL7R","mutation","INDEL","INDEL_cluster_0015","Sequence-local hotspot also compact in structure",88,108,15,45,70.2177253191813,0.0001999600079984,0.0015996800639872,0.00559888022395521,0.0413917216556689,0.00559888022395521,TRUE,NA,TRUE,TRUE,0.0025994801039792,0.0263947210557888,"1D",210,255,89.1
"IL7R","mutation","INDEL","INDEL_cluster_0016","Nonlocal, 3D-specific hotspot",9,10,4,3,5.56397933137786,0.0113977204559088,0.000999800039992002,0.231753649270146,0.026994601079784,0.026994601079784,TRUE,NA,FALSE,TRUE,0.126374725054989,0.0173965206958608,"1D;3D",245,248,90.5
"IL7R","mutation","INDEL","INDEL_cluster_0017","Nonlocal, 3D-specific hotspot",8,8,2,3,5.04132938816737,0.0615876824635073,0.0015996800639872,0.74005198960208,0.0413917216556689,0.0413917216556689,TRUE,NA,FALSE,TRUE,0.500699860027994,0.0263947210557888,"3D",252,255,93.3
"IL7R","mutation","INDEL","INDEL_cluster_0018","Weak clustering evidence",11,13,6,5,8.42230716609172,0.00699860027994401,0.0021995600879824,0.14877024595081,0.0573885222955409,0.0573885222955409,FALSE,NA,FALSE,FALSE,0.0763847230553889,0.0377924415116977,"1D;3D",245,250,91.6
"IL7R","mutation","INDEL","INDEL_cluster_0019","Weak clustering evidence",5,5,1,0,0,0.030993801239752,0.030993801239752,0.510097980403919,0.510097980403919,0.510097980403919,FALSE,NA,FALSE,FALSE,0.301539692061588,0.396920615876825,"1D;3D",252,252,93
"IL7R","mutation","INDEL","INDEL_cluster_0020","Weak clustering evidence",6,6,2,1,3.86634375088403,0.0727854429114177,0.0609878024395121,0.794041191761648,0.734253149370126,0.734253149370126,FALSE,NA,FALSE,FALSE,0.582683463307339,0.605678864227155,"1D",245,246,88.7
"IL7R","mutation","INDEL","INDEL_cluster_0021","Weak clustering evidence",4,4,1,0,0,0.296940611877624,0.296940611877624,0.999000199960008,0.999000199960008,0.999000199960008,FALSE,NA,FALSE,FALSE,0.984003199360128,0.991401719656069,"1D;3D",254,254,94.1
"IL7R","mutation","INDEL","INDEL_cluster_0022","Weak clustering evidence",5,6,2,1,3.85580847553403,0.427314537092581,0.324735052989402,1,0.999200159968006,0.999200159968006,FALSE,NA,FALSE,FALSE,0.997200559888022,0.994601079784043,"3D",246,247,90.2
"IL7R","mutation","INDEL","INDEL_cluster_0023","Weak clustering evidence",5,7,2,1,3.86368451092995,0.427314537092581,0.348330333933213,1,0.999600079984003,0.999600079984003,FALSE,NA,FALSE,FALSE,0.997200559888022,0.996800639872026,"1D",254,255,93.8
"IL7R","mutation","INDEL","INDEL_cluster_0024","Weak clustering evidence",3,3,1,0,0,0.95380923815237,0.95380923815237,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",245,245,88.1
"IL7R","mutation","INDEL","INDEL_cluster_0025","Weak clustering evidence",3,3,1,0,0,0.95380923815237,0.95380923815237,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",246,246,89.2
"IL7R","mutation","INDEL","INDEL_cluster_0026","Weak clustering evidence",3,3,1,0,0,0.95380923815237,0.95380923815237,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",247,247,91.2
"IL7R","mutation","INDEL","INDEL_cluster_0027","Weak clustering evidence",2,2,1,0,0,1,1,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",249,249,93
"IL7R","mutation","INDEL","INDEL_cluster_0028","Weak clustering evidence",3,3,1,0,0,0.95380923815237,0.95380923815237,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",255,255,93.6
"IL7R","mutation","INDEL","INDEL_cluster_0029","Weak clustering evidence",3,3,2,1,3.84781977228664,1,1,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D;3D",249,250,93.9
"IL7R","mutation","INDEL","INDEL_cluster_0030","Weak clustering evidence",4,4,2,1,3.86780053777337,0.947610477904419,0.913417316536693,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"1D",247,248,92.3
"IL7R","mutation","INDEL","INDEL_cluster_0031","Weak clustering evidence",4,4,2,3,5.03760518500606,1,0.958208358328334,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"3D",245,248,90.8
"IL7R","mutation","INDEL","INDEL_cluster_0032","Weak clustering evidence",2,2,2,159,20.5270607248091,1,1,1,1,1,FALSE,NA,FALSE,FALSE,1,1,"3D",51,210,91
